Song Name,Album,Duration (minutes),Release Year,Popularity
plc.4 mie hæd,reanimation,4.35,2002,4
rnw@y,reanimation,3.22,2002,3
my<dsmbr,reanimation,4.29,2002,3
pts.of.athrty,reanimation,3.76,2002,3
p5hng me a*wy,reanimation,4.63,2002,4
given up,minutes to midnight,3.15,2007,7
what i've done,minutes to midnight,3.79,2007,5
by_myslf,reanimation,3.71,2002,1
h! vltg3,reanimation,3.51,2002,2
darker than blood,darker than blood,3.72,2015,5
darker than blood,darker than blood,4.48,2015,6
kyur4 th ich,reanimation,2.54,2002,1
